feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d
4378,-0.593876,0.0,0.593876,0.0,8.564998,-0.08688104
291,-0.59451145,0.0,0.59451145,0.0,8.574167,-0.086881
15092,-0.59837055,0.0,0.59837055,0.0,8.629833,-0.0868809
12764,-0.5986221,0.30690506,0.9055272,1.5297194,3.7761643,-0.1899501
11937,-0.6005498,0.0,0.6005498,0.0,8.661244,-0.08688109
3628,-0.60228693,1.2542495,1.8565364,2.382202,4.399777,-0.15877168
9049,-0.60954404,0.0,0.60954404,0.0,7.8413777,-0.0974023
1567,-0.6096242,0.0,0.6096242,0.0,5.0520597,-0.15119946
8398,-0.6105214,0.0,0.6105214,0.0,8.353765,-0.09157462
4292,-0.6134391,0.826326,1.4397651,2.746563,5.229232,-0.13663904
319,-0.6165191,1.6847006,2.3012197,3.1997738,4.0365896,-0.16421287
9316,-0.6166265,1.1842405,1.800867,2.2492018,4.742326,-0.15338705
15076,-0.618296,1.7858135,2.4041095,3.3917625,4.011201,-0.1627953
7816,-0.61910856,1.1856345,1.804743,2.2518508,4.7727947,-0.15311183
7469,-0.6207697,0.04427117,0.66504085,0.48294204,9.109024,-0.08532327
15203,-0.62193215,0.0,0.62193215,0.0,8.969631,-0.08688103
11796,-0.624334,0.0,0.624334,0.0,9.004297,-0.086880766
13097,-0.6253456,1.2191423,1.8444879,2.315491,4.7645617,-0.1543924
3938,-0.62535864,0.0,0.62535864,0.0,9.019037,-0.08688114
15039,-0.6254679,0.044213377,0.66968125,0.482311,9.209842,-0.0850296
3523,-0.62587607,1.8011414,2.4270175,3.4208791,4.0768147,-0.16249779
1863,-0.62635684,0.0,0.62635684,0.0,7.648682,-0.102610484
8376,-0.62646604,2.02828,2.654746,3.8522632,4.238429,-0.15270622
15188,-0.62809706,2.015605,2.643702,3.7513018,4.1959925,-0.15546192
4672,-0.6285517,3.037454,3.6660056,6.1891575,7.2584,-0.09123465
10890,-0.6285533,1.4809195,2.1094728,2.9598567,5.5747676,-0.1311333
10702,-0.6286683,1.8028028,2.431471,2.7066844,8.389154,-0.09123093
3776,-0.63058245,1.4763223,2.1069047,2.8039396,4.3308787,-0.16390662
15152,-0.6308781,0.0,0.6308781,0.0,9.098665,-0.08688089
13041,-0.631231,0.2670142,0.8982452,1.8314629,7.950676,-0.09800988
11481,-0.63823783,0.41874444,1.0569823,4.5679584,6.28714,-0.11152207
4347,-0.6383823,1.1466085,1.7849908,2.127578,3.774167,-0.19501299
8160,-0.63941014,1.551128,2.1905382,3.0519733,5.1861525,-0.14117838
14008,-0.6406176,2.1643195,2.8049371,4.1106358,4.4690065,-0.14752917
8326,-0.64231765,1.5225312,2.1648488,2.891737,4.0189133,-0.17597105
14853,-0.6426146,0.0,0.6426146,0.0,5.2233396,-0.15415543
14695,-0.6428027,1.7486935,2.3914962,3.3212872,4.196267,-0.16476466
